What is your current role in the company?,What is the size of your company?,What is the main focus of your company?,How many years has your company been operating?,To what extent is AI currently used in your company’s strategic planning?  ,Which AI technologies are used in your company?  ,For what purposes is AI used in your company’s strategy?  , AI tools improve the quality of strategic decision-making in our company.  , Which Agile framework(s) does your organization follow?  ,"How often does your team engage in Agile ceremonies (e.g., sprints, stand-ups)?  ",Agile practices in our company are effectively embedded into strategic planning.  , Our organization adapts quickly to change thanks to Agile methodologies.  ,"AI has helped our company respond better to unexpected disruptions (e.g., COVID, tech failures, market shifts).  ",Our company is resilient in the face of market volatility.  ,AI integration has improved our ability to make fast strategic adjustments.  ,Combining AI and Agile has significantly improved our business adaptability.  ,"In your opinion, what is the greatest benefit of using AI in strategy development?  ",Have you encountered any challenges when implementing AI into your Agile processes? Please describe.  
Strategy / Operations Manager,Over 250 employees,Finance,More than 6 years,2,"Machine Learning, Natural Language Processing","Market analysis, Decision-making support, Forecasting trends",5,Scrum,4,4,5,4,4,5,4,To make money more quick and easy,Resistance to change
CEO / CTO,11 - 50 employees,GovTech,1 - 3 years,5,"Machine Learning, Natural Language Processing, Predictive Analytics, Chatbots / Virtual Assistants, Computer Vision","Market analysis, Product development",2,Lean Startup,3,2,4,1,2,2,2,not using it,reduced iq
Sales Engineer,Over 250 employees,sales of electrical equipment,More than 6 years,1,We do not use AI,We do not use AI in strategic contexts,1,We don’t use Agile,1,1,1,1,1,1,1,"AI can analyze vast amounts of data quickly, enhancing strategic decision-making by providing real-time data-driven insights and predictive analytics.",
Strategy / Operations Manager,Over 250 employees,Software Development,More than 6 years,2,Chatbots / Virtual Assistants,We do not use AI in strategic contexts,2,Scrum,5,5,4,5,4,3,3,Faster to provide info,No
Architect,Over 250 employees,FinTech,More than 6 years,3,"Machine Learning, Natural Language Processing, Predictive Analytics, Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Product development, Forecasting trends",4,"Scrum, Kanban",2,5,4,2,4,3,4,Improved market predictions,"GDPR, data locality issues"
Founder / Co - Founder,1 - 10 employees,Marketing,1 - 3 years,2,Chatbots / Virtual Assistants,"Market analysis, Customer segmentation, Decision-making support, Forecasting trends",3,We don’t use Agile,1,1,1,3,4,3,2,"Market analysis, structure and planning",No
Founder / Co - Founder,1 - 10 employees,E-commerce,4 - 6 years,2,"Machine Learning, Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Decision-making support, Forecasting trends",3,"Kanban, Lean Startup",4,3,3,4,2,3,4,"The greatest benefit of using AI in strategy development is the ability to rapidly analyze vast amounts of data to uncover patterns, trends, and insights that would be difficult or nearly impossible for humans to detect on their own.

Here’s why this is transformative:

Enhanced Decision-Making: AI provides evidence-based recommendations, reduces guesswork, and helps leaders make smarter, more informed strategic choices.
Speed and Agility: AI can process and interpret information far faster than humans, enabling organizations to respond quickly to market changes or emerging risks.
Predictive Analytics: AI can anticipate future market trends, customer behaviors, or potential disruptions, giving organizations a proactive edge.
Personalization and Customization: Strategies can be tailored more precisely to specific audience segments or market conditions.
Continuous Learning: AI models can constantly improve as they take in new data, fine-tuning strategies over time.","1. Alignment with Agile Iteration Cycles
AI and machine learning projects often require significant time for data gathering, model training, and validation. This can be at odds with Agile’s preference for short, iterative sprints delivering shippable increments. Teams may struggle to break down complex AI tasks into small enough pieces for each sprint.

2. Data Quality and Availability
AI’s effectiveness hinges on high-quality, relevant data. In Agile, new features and user stories are prioritized for delivery, but if the required data isn’t ready, bottlenecks occur. Cross-functional communication and early data pipeline development become crucial.

3. Cross-Functional Team Skills
Agile teams are ideally cross-functional, but not every team member may have AI/ML expertise. Skill gaps lead to reliance on a few specialists, slowing progress and impacting Agile’s collaboration promise.

4. Uncertain Outcomes
AI projects often come with inherent uncertainty: sometimes, even with the best efforts, models don’t deliver the expected results. This unpredictability challenges Agile planning, estimation, and demo expectations.

5. Integration and Deployment
AI models require special handling in deployment and monitoring compared to regular software. Agile teams may need to adjust DevOps practices (MLOps) to monitor model drift, automate retraining, and ensure seamless releases.

"
Founder / Co - Founder,1 - 10 employees,E-commerce,Less than 1 year,4,Chatbots / Virtual Assistants,"Customer segmentation, Decision-making support, Product development",4,We don’t use Agile,1,3,3,3,3,3,3,"That you save money, time and energy using AI as a expert assistant in your industry and also some other AI tools if needed ",-
Strategy / Operations Manager,11 - 50 employees,E-commerce,1 - 3 years,3,"Predictive Analytics, Chatbots / Virtual Assistants","Market analysis, Forecasting trends",3,We don’t use Agile,3,3,3,3,3,3,3,"The greatest benefit of using AI in strategy development is its ability to analyze massive volumes of data quickly and extract actionable patterns that humans might miss, enabling faster, more informed, and more adaptive decision-making.",No.
Strategy / Operations Manager,Over 250 employees,Energy industry,More than 6 years,3,"Machine Learning, Predictive Analytics","Market analysis, Decision-making support, Risk management, Forecasting trends",5,Scrum,3,3,4,4,2,4,4,Better understanding of market fundamentals,"Lots of potential synergies discovered during implementation, most if them verry dynamic with high switching rate"
